params,train_mse,val_mse,train_r2,val_r2
"{'max_depth': 10, 'n_estimators': 50}",0.0187359999254201,0.031198432734546235,0.8643494956362696,0.7737266661565386
"{'max_depth': 10, 'n_estimators': 100}",0.021078302023321064,0.033310461571635516,0.8474084594813253,0.7581456982838486
"{'max_depth': 5, 'n_estimators': 100}",0.03223456075867835,0.037262062544773135,0.7665212672957366,0.7299947262796426
"{'max_depth': 5, 'n_estimators': 50}",0.03283610815756847,0.03757152275403615,0.7623234778930176,0.7270436380039557
