params,train_mse,val_mse,train_r2,val_r2
"{'learning_rate': 0.05, 'max_leaves': 15, 'n_estimators': 100}",0.004447028889266971,0.012069156792273852,0.9677945212995714,0.9123181910909264
"{'learning_rate': 0.05, 'max_leaves': 20, 'n_estimators': 100}",0.0033317495852625556,0.012272194351897197,0.9758722489392607,0.9108893098021122
"{'learning_rate': 0.03, 'max_leaves': 20, 'n_estimators': 100}",0.006432590999129432,0.013967229355149968,0.9534166570400775,0.8985868212105783
"{'learning_rate': 0.03, 'max_leaves': 15, 'n_estimators': 100}",0.00781757173117505,0.014238120282363154,0.9433844966634451,0.8966160308604149
"{'learning_rate': 0.05, 'max_leaves': 20, 'n_estimators': 50}",0.008214760565884887,0.01536754889702604,0.9405097931723319,0.8884546524727817
"{'learning_rate': 0.05, 'max_leaves': 15, 'n_estimators': 50}",0.009744578343685497,0.01560111194729795,0.9294309149850589,0.8867242619245868
"{'learning_rate': 0.03, 'max_leaves': 20, 'n_estimators': 50}",0.018075475371791487,0.023712399368682167,0.8691017094889603,0.8278608678482089
"{'learning_rate': 0.03, 'max_leaves': 15, 'n_estimators': 50}",0.01983650392250949,0.024382536616240957,0.8563446755662065,0.8230091698846852
